symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
4DF,*N[C@H](C(*)=O)c1ccsc1CC(F)(F)F |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
T3D,*N[C@H](C(*)=O)c1coc(CC(F)(F)F)c1 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
VLR,*N[C@H](C(*)=O)c1c(CC(F)(F)F)cnn1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
YBZ,*N[C@H](C(*)=O)c1[nH]c(C(C)C)nc1Cl |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
B1Z,*N[C@H](C(*)=O)c1c(C)cc(C)cc1O[C@@H](CC)C(=O)O |$_R1;;;;_R2;;;;;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
K4R,*N[C@H](C(*)=O)c1cc2ccccc2c(C(C)(C)C)n1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
BOE,*N[C@H](C(*)=O)c1n[nH]c(=O)n1-c1ccc(F)c(Cl)c1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
0YG,*N[C@@H](CC1=NC(=S)N=C1)C(*)=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
7TH,*N[C@H](C(*)=O)[C@H]1CCc2cc(O)ccc2C1 |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
U78,*N[C@H](C(*)=O)c1nc(Cl)c(Cl)n1C |$_R1;;;;_R2;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
M3H,*N[C@H](C(*)=O)C1(C)C(=O)CCCC1=O |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
WU6,*N[C@H](C(*)=O)c1c[nH]c2c(OCC)nccc12 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
SLV,*N[C@H](C(*)=O)c1nc2c(o1)CCOC2 |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
UN0,*N[C@H](C(*)=O)c1nnc(-c2cnsn2)o1 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
0JM,*N[C@H](C(*)=O)C(C)(C)[C@@H]1CCCS1(=O)=O |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
HCS,*N[C@H](C(*)=O)C(C)(C)[C@@H]1CCC[N@H+]1C |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
