symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
dGlu(OMe),COC(=O)CC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
F,[*]N[C@@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dF,[*]N[C@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meF,CN([*])[C@@H](Cc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dF,CN([*])[C@H](Cc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Phe(4-F),Fc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dPhe(4-F),Fc1ccc(C[C@@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Phe(4-CF3),FC(F)(F)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Phe(4-NO2),[*]N[C@@H](Cc1ccc(cc1)N(=O)=O)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Phe(CHF2),[*]N[C@@H](Cc1ccc(C(F)F)cc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
"dPhe(3,4-diF)",Fc1ccc(C[C@@H](N[*])C([*])=O)cc1F |$;;;;;;;;_R1;;_R2;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Et_Phe,CCN([*])[C@@H](Cc1ccccc1)C([*])=O |$;;;_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
H2NEt_Phe,[*]NCCN[C@@H](Cc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Phe(3-Cl),CN([*])[C@@H](Cc1cccc(Cl)c1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
